outroot,outno,fmtno,outdir,indir,priordb,case,pass,bndry_cond,smearing,land_sig0,water_sig0,gdem_name,notes
./output/sac,19,19,./output/sac19,$SACDIR1,$PRIORLOC1,Sacramento,249,not_spec,not_spec,not_spec,not_spec,gdem_preproc.nc,1/25/19 pixc from Brent
./output/sac,20,20,./output/sac20,$SACDIR1,$PRIORLOC2,Sacramento,249,not_spec,not_spec,not_spec,not_spec,gdem_preproc.nc,1/25/19 pixc from Brent
./output/sac,21,21,./output/sac21,$SACDIR2,$PRIORLOC1,Sacramento,249,109,50m,-5dB,10dB,gdem_preproc.nc,
./output/sac,22,22,./output/sac22,$SACDIR3,$PRIORLOC1,Sacramento,249,109,50m,68 pctile,3dB wind calc,gdem_preproc.nc,darkwater
./output/sac,23,23,./output/sac23,$SACDIR4,$PRIORLOC1,Sacramento,249,109,50m,-100dB,3dB wind calc,gdem_preproc.nc,darkwater
./output/sac,24,24,./output/sac24,$SACDIR5,$PRIORLOC1,Sacramento,249,109,50m,-100dB,10dB,gdem_preproc.nc,
./output/sac,25,25,./output/sac25,$SACDIR6,$PRIORLOC1,Sacramento,249,220,50m,-5dB,10dB,gdem_preproc.nc,
./output/sac,26,26,./output/sac26,$SACDIR7,$PRIORLOC1,Sacramento,249,220,50m,68 pctile,3dB wind calc,gdem_preproc.nc,
./output/sac,27,27,./output/sac27,$SACDIR8,$PRIORLOC1,Sacramento,249,220,50m,-100dB,3dB wind calc,gdem_preproc.nc,
./output/sac,28,28,./output/sac28,$SACDIR9,$PRIORLOC1,Sacramento,249,220,50m,-100dB,10dB,gdem_preproc.nc,
./output/sac,29,29,./output/sac29,$SACDIR2,$PRIORLOC2,Sacramento,249,109,50m,-5dB,10dB,gdem_preproc.nc,
./output/sac,30,30,./output/sac30,$SACDIR3,$PRIORLOC2,Sacramento,249,109,50m,68 pctile,3dB wind calc,gdem_preproc.nc,
./output/sac,31,31,./output/sac31,$SACDIR4,$PRIORLOC2,Sacramento,249,109,50m,-100dB,3dB wind calc,gdem_preproc.nc,
./output/sac,32,32,./output/sac32,$SACDIR5,$PRIORLOC2,Sacramento,249,109,50m,-100dB,10dB,gdem_preproc.nc,
./output/sac,33,33,./output/sac33,$SACDIR6,$PRIORLOC2,Sacramento,249,220,50m,-5dB,10dB,gdem_preproc.nc,
./output/sac,34,34,./output/sac34,$SACDIR7,$PRIORLOC2,Sacramento,249,220,50m,68 pctile,3dB wind calc,gdem_preproc.nc,
./output/sac,35,35,./output/sac35,$SACDIR8,$PRIORLOC2,Sacramento,249,220,50m,-100dB,3dB wind calc,gdem_preproc.nc,
./output/sac,36,36,./output/sac36,$SACDIR9,$PRIORLOC2,Sacramento,249,220,50m,-100dB,10dB,gdem_preproc.nc,
